sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
67,2,Anna Hummingbird,Laysan Albatross,0.2036479304877706,0.005828956318793575,3,10,15,0.1988006941399188,0.20964838122608276,0.0,34.93728882411364,long wingspan,191
67,3,Anna Hummingbird,Sooty Albatross,0.26788539667225714,0.006267414671883809,6,10,12,0.2598186543617733,0.2724631571265014,0.0,42.742567813690826,long wingspan,191
67,28,Anna Hummingbird,Brown Creeper,0.17542050323264932,0.01948350465688112,3,10,18,0.16417166442103437,0.19623079733695878,0.0,9.003539471616127,long wingspan,191
67,62,Anna Hummingbird,Herring Gull,0.136411444801358,0.007416819203285986,3,10,18,0.1295049734767551,0.14358727935493124,0.0,18.392176085744328,long wingspan,191
67,70,Anna Hummingbird,Green Violetear,0.11844712173520115,0.00363663932557033,3,10,17,0.11485654306399182,0.12174248369160459,0.0,32.57048915183656,long wingspan,191
67,108,Anna Hummingbird,White necked Raven,0.14136132778519414,0.010542004955088481,3,10,18,0.13010143027743912,0.14744781335284562,0.0,13.409339909629963,long wingspan,191
67,110,Anna Hummingbird,Geococcyx,0.09874563493312523,0.014637615634763885,3,10,17,0.08358108361369468,0.11068085918518256,0.0,6.746019118842099,long wingspan,191
68,2,Ruby throated Hummingbird,Laysan Albatross,0.11863977115560664,0.004119374810933782,3,13,15,0.11544170791843959,0.12296065380260329,0.0,28.800431272218432,long wingspan,191
68,69,Ruby throated Hummingbird,Rufous Hummingbird,0.02014130707671365,0.009054969708685204,3,13,13,0.011562182590589849,0.028766394952771807,0.0,2.2243373222077696,long wingspan,191
68,70,Ruby throated Hummingbird,Green Violetear,0.18425549562610558,4.846609049164483e-08,6,13,17,0.1842554391318627,0.18425554716491654,0.0,3801661.9887234434,long wingspan,191
68,144,Ruby throated Hummingbird,Common Tern,0.07967273815126445,0.0019409772437171335,6,13,16,0.07730359359653627,0.08156413882710023,0.0,41.04774456687434,long wingspan,191
