sid_A,sid_B,var_old,var_new,shift_B_fwd,shift_A_fwd,delta_z_old_mean,delta_z_new_mean,shift_A_bwd,leakage_sym,part
29,37,1,2,4.919947137693725e-07,-0.2630038261413574,-0.3831482410430908,0.08376995965372772,,2.4599735688468626e-07,tail
29,47,1,8,0.000265679005497077,-0.7756296277046204,-0.8429709076881409,0.8765103042125701,,0.0001328395027485385,tail
30,39,4,2,4.347996662090736e-06,-0.024030029773712158,-0.1755025029182434,0.000703836736829544,,2.173998331045368e-06,tail
30,40,4,5,7.034143216344547e-07,-0.025542211532592774,-0.23336997628211975,0.1770078915898921,,3.517071608172273e-07,tail
30,46,4,1,0.007435288204578683,-0.007319021224975586,-0.2072195291519165,0.1818267431575805,,0.0037176441022893415,tail
31,41,8,6,3.645914389238669e-06,-0.11642030477523804,-0.36498925685882566,0.0998949713955426,,1.8229571946193345e-06,tail
35,47,2,8,0.011507250744671182,-0.10545221567153931,-0.6725699782371521,0.554113783244975,,0.005753625372335591,tail
36,46,8,1,0.0016786255175247789,-0.2896215200424194,-0.9801663398742676,0.918778395652771,,0.0008393127587623894,tail
37,49,2,3,0.03152617881742117,-0.6304039299488068,-0.8171506404876709,0.5497265632438939,,0.015763089408710584,tail
38,49,5,3,7.645413876389285e-06,-0.20945277214050292,-0.39724123775959014,0.3500612251460552,,3.8227069381946425e-06,tail
44,49,6,3,0.025364826258737594,-0.21188260316848756,-0.8297832489013672,0.2663093037903309,,0.012682413129368797,tail
48,49,5,3,0.008826973299801467,-0.3269426591694355,-0.3051834742538631,0.09832500871270895,,0.004413486649900733,tail
0,10,3,0,0.00011555853552636108,-0.3665189027786255,-0.6538017988204956,0.8694179713726043,7.047607214190066e-05,9.301730383413088e-05,beak
0,33,3,2,8.514869132341119e-05,-0.005095434188842773,-0.22986584901809692,0.13912930352671538,0.001308455245452933,0.0006968019683881721,beak
0,35,3,2,2.5739717386841223e-06,-0.005095434188842773,-0.22986584901809692,0.13912930352671538,9.093696294257825e-05,4.675546734063119e-05,beak
0,39,3,0,8.453091795672663e-05,-0.3665189027786255,-0.6538017988204956,0.8694179713726043,1.4462090985034592e-05,4.949650447088061e-05,beak
0,43,3,1,0.00021473571660521885,-0.3346482992172241,-0.399981427192688,0.62216876745224,1.7113506783061893e-05,0.00011592461169414036,beak
1,13,3,0,7.277782603978266e-05,-0.02616063356399536,-0.46559683084487913,0.6190048702061176,0.0003977328204200603,0.00023525532322992148,beak
1,15,3,1,8.661333072268463e-06,-0.0018409967422485351,-0.1992849349975586,0.3540754136745818,0.00025897073646774516,0.00013381603477000681,beak
1,46,3,0,0.000570315827462764,-0.02616063356399536,-0.46559683084487913,0.6190048702061176,0.003343426971696317,0.0019568713995795407,beak
1,48,3,0,0.0012253119715751382,-0.02616063356399536,-0.46559683084487913,0.6190048702061176,0.001160906977020204,0.0011931094742976712,beak
2,10,1,0,0.24585205069743096,-0.45642378330230715,-0.8450399994850158,0.7344779625535012,0.28608731627464296,0.26596968348603695,beak
2,11,1,3,7.531321680289693e-05,-0.07886649370193481,-0.8288450121879578,0.9355813503265381,0.000928972919507487,0.0005021430681551919,beak
2,21,1,0,0.003449518446723232,-0.45642378330230715,-0.8450399994850158,0.7344779625535012,0.0013791127072181552,0.0024143155769706937,beak
2,27,1,0,0.09360282041598111,-0.45642378330230715,-0.8450399994850158,0.7344779625535012,0.07517765401862561,0.08439023721730336,beak
2,28,1,0,0.0007754526144708507,-0.45642378330230715,-0.8450399994850158,0.7344779625535012,0.0019333485040988307,0.0013544005592848406,beak
2,32,1,0,0.020175080571789294,-0.45642378330230715,-0.8450399994850158,0.7344779625535012,0.007829350838437676,0.014002215705113485,beak
2,37,1,2,1.2395339123116856e-06,-0.11777154207229615,-0.7573237776756286,0.09568842595035676,0.0009189442989736563,0.000460091916442984,beak
2,38,1,0,7.930392234811734e-06,-0.45642378330230715,-0.8450399994850158,0.7344779625535012,5.876747354705003e-06,6.903569794758368e-06,beak
3,6,0,2,0.0011463554445072077,-0.00021831393241882323,-0.5387025475502014,0.26402795389294625,0.00023893456818768755,0.0006926450063474476,beak
3,35,0,2,1.3443885336528183e-05,-0.00021831393241882323,-0.5387025475502014,0.26402795389294625,3.497087471373561e-05,2.4207380025131898e-05,beak
