species_id,species_name,n,n_pos,n_pred_pos,n_neg,prevalence,tp,recall,attr,model
6,Least Auklet,11,4,0,7,0.36363636363636365,0,0.0,has_upper_tail_color::white,baseline
1,Black footed Albatross,30,3,0,27,0.1,0,0.0,has_bill_shape::all-purpose,baseline
143,Caspian Tern,30,6,1,24,0.2,0,0.0,has_bill_shape::all-purpose,baseline
120,Fox Sparrow,30,6,12,24,0.2,3,0.5,has_bill_shape::all-purpose,baseline
121,Grasshopper Sparrow,30,7,4,23,0.23333333333333334,0,0.0,has_bill_shape::all-purpose,baseline
122,Harris Sparrow,30,2,2,28,0.06666666666666667,0,0.0,has_bill_shape::all-purpose,baseline
123,Henslow Sparrow,30,5,3,25,0.16666666666666666,1,0.2,has_bill_shape::all-purpose,baseline
126,Nelson Sharp tailed Sparrow,30,13,15,17,0.43333333333333335,8,0.6153846153846154,has_bill_shape::all-purpose,baseline
127,Savannah Sparrow,30,4,9,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,baseline
128,Seaside Sparrow,30,14,8,16,0.4666666666666667,4,0.2857142857142857,has_bill_shape::all-purpose,baseline
129,Song Sparrow,30,3,6,27,0.1,1,0.3333333333333333,has_bill_shape::all-purpose,baseline
130,Tree Sparrow,30,0,4,30,0.0,0,,has_bill_shape::all-purpose,baseline
131,Vesper Sparrow,30,8,15,22,0.26666666666666666,2,0.25,has_bill_shape::all-purpose,baseline
132,White crowned Sparrow,30,0,2,30,0.0,0,,has_bill_shape::all-purpose,baseline
133,White throated Sparrow,30,4,0,26,0.13333333333333333,0,0.0,has_bill_shape::all-purpose,baseline
134,Cape Glossy Starling,30,24,14,6,0.8,9,0.375,has_bill_shape::all-purpose,baseline
135,Bank Swallow,30,11,12,19,0.36666666666666664,6,0.5454545454545454,has_bill_shape::all-purpose,baseline
136,Barn Swallow,30,12,14,18,0.4,7,0.5833333333333334,has_bill_shape::all-purpose,baseline
137,Cliff Swallow,30,11,5,19,0.36666666666666664,2,0.18181818181818182,has_bill_shape::all-purpose,baseline
138,Tree Swallow,30,11,13,19,0.36666666666666664,5,0.45454545454545453,has_bill_shape::all-purpose,baseline
139,Scarlet Tanager,30,11,16,19,0.36666666666666664,6,0.5454545454545454,has_bill_shape::all-purpose,baseline
140,Summer Tanager,30,14,9,16,0.4666666666666667,5,0.35714285714285715,has_bill_shape::all-purpose,baseline
118,House Sparrow,30,4,6,26,0.13333333333333333,1,0.25,has_bill_shape::all-purpose,baseline
116,Chipping Sparrow,30,6,3,24,0.2,0,0.0,has_bill_shape::all-purpose,baseline
